centre-id,centre-ID-OSV,fieldwork-ID,year,date-of-inspection,date,name-of-designated-centre,address-of-centre,name-of-provider,type-of-inspection,number-of-residents-present,report-id,about,respite-category,num-compliant,num-notcompliant,num-substantiallycompliant,Regulation_03_Statement_of_purpose,Regulation_04_Written_policies_and_procedures,Regulation_05_Individualised_assessment_and_personal_plan,Regulation_06_Healthcare,Regulation_07_Positive_behaviour_support,Regulation_08_Protection,Regulation_09_Residents'_rights,Regulation_10_Communication,Regulation_11_Visits,Regulation_12_Personal_possessions,Regulation_13_General_welfare_and_development,Regulation_14_Person_in_charge,Regulation_15_Staffing,Regulation_16_Training_and_staff_development,Regulation_17_Premises,Regulation_18_Food_and_nutrition,Regulation_19_Directory_of_residents,Regulation_20_Information_for_residents,Regulation_21_Records,Regulation_22_Insurance,Regulation_23_Governance_and_management,Regulation_24_Admissions_and_contract_for_the_provision_of_services,"Regulation_25_Temporary_absence,_transition_and_discharge_of_residents",Regulation_26_Risk_management_procedures,Regulation_27_Protections_against_infection,Regulation_28_Fire_precautions,Regulation_29_Medicines_and_pharmaceutical_services,Regulation_30_Volunteers,Regulation_31_Notification_of_incidents,Regulation_32_Notifications_of_periods_when_person_in_charge_is_absent,Regulation_33_Notifications_of_procedures_and_arrangements_for_periods_when_person_in_charge_is_absent,Regulation_34_Complaints_procedure,Registration_Reg5,Registration_Reg8,Registration_Reg7
5835,OSV-0005835,MON-0028429,2020,09 December 2020,2020-12-09,Stewarts Care Adult Services Designated Centre 4,Dublin 20,Stewarts Care Limited,Short Notice Announced,13,5835-20201209,"Designated Centre 4 aims to support and empower people with an intellectual disability to live meaningful and fulfilling lives by delivering quality, person-centred services, provided by a competent, skilled and caring workforce, in partnership with the person, their advocate, their family, the community, allied healthcare professional and statutory authorities. The centre consists of 3 separate detached houses in Kildare County. The centre can accommodate a maximum of 13 male or female adult residents. The centre is staffed by staff nurses, care staff and a person in charge,",,3,5,1,,,Not compliant,,Not compliant,Not compliant,,,,,,,Not compliant,Substantially compliant,,,,,,,Not compliant,,,Compliant,Compliant,Compliant,,,,,,,,,
5729,OSV-0005729,MON-0026064,2021,18 March 2021,2021-03-18,Kinvara Avenue,Dublin 7,Daughters of Charity Disability Support Services Company Limited by Guarantee,Short Notice Announced,4,5729-20210318,"Kinvara Avenue is located in a suburban area of North Dublin City and provides 24 hour residential services for up to four individuals with intellectual disabilities, medical needs, mental health needs and age associated conditions. The centre is comprised of one terraced house and consists of an entrance hallway, a living room, an open plan kitchen and dining room, an accessible toilet and shower room, four resident bedrooms, a first floor bathroom, a laundry room, a store room and an enclosed garden space to the rear of the property. Residents who avail of the services of this centre are supported by a staff team made up of a person in charge, social care workers, and health care assistants. There is a total staff compliment of 10.10 full-time equivalents.",,15,0,3,Compliant,,,,,Compliant,Compliant,,,,Compliant,,Compliant,Substantially compliant,Substantially compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Substantially compliant,,,Compliant,Compliant,Compliant,,,Compliant,,,Compliant,,,
3364,OSV-0003364,MON-0033348,2021,05 August 2021,2021-08-05,Glenbow Services,Sligo,Health Service Executive,Short Notice Announced,8,3364-20210805,"Glenbow Services is run by the Health Service Executive and is located a short distance from a town in Co. Sligo. The centre provides residential care for up to eleven male and female residents, who are over the age of 18 years and have mild to profound intellectual disabilities. The centre is based on a campus setting and comprises of two bungalow dwellings located within close proximity to each other. Residents have access to their own bedroom, some en-suite facilities, shared communal areas, bathrooms and each bungalow provides residents with level access to a green area.  Staff are on duty both day and night to support the residents who avail of this service.",,7,1,6,,,Substantially compliant,Compliant,Substantially compliant,Compliant,Compliant,Compliant,,,Substantially compliant,,Not compliant,Substantially compliant,Compliant,,,,,,Substantially compliant,,,Substantially compliant,Compliant,,,,,,,Compliant,,,
2890,OSV-0002890,MON-0039127,2023,16 February 2023,2023-02-16,Sallynoggin D.C.,Co. Dublin,St John of God Community Services CLG,Unannounced,13,2890-20230216,Sallynoggin is a designated centre operated by St John of God Community Services Company Limited by Guarantee. This designated centre is comprised of three individual houses located within short walking distance from each other in a suburban South County Dublin area. One house is a detached two storey building that provides full-time residential services for up to four residents. The remaining two houses are located beside each other with one providing full-time residential services for up to five residents and the other house able to accommodate up to four residents. There is a person in charge appointed to manage the centre. They are also the person in charge of another designated centre located nearby. They are supported in their role by two  supervisors and report to a senior manager. The staff team comprises of nurses and social care staff.,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Not compliant,,,,,,,,,,
3753,OSV-0003753,MON-0035700,2022,02 June 2022,2022-06-02,Community Living Area 15,Kildare,Muiríosa Foundation,Unannounced,6,3753-20220602,"This designated centre comprises of two houses in Co. Kildare. The designated centre provides support to seven residents with varying needs. One of the houses is a large bungalow in a rural setting. There are four bedrooms in the house, with two sitting rooms and a kitchen dining area. The other house is a large bungalow situated in a small cul-de-sac. There are five bedrooms with two en-suites. There is a bathroom, a kitchen-cum-dining room and two sitting rooms. There is a large garden to the rear and front of house. The person in charge shares their working hours between this and one other designated centre, and each house is resourced by a separate team of part-time and full-time direct care and support staff.",,3,1,6,Substantially compliant,,Substantially compliant,Compliant,Substantially compliant,,Substantially compliant,,,,,Compliant,Compliant,Substantially compliant,,,,,,,Substantially compliant,Not compliant,,,,,,,,,,,,,
3616,OSV-0003616,MON-0028795,2022,25 August 2022,2022-08-25,Dunshane Camphill Communities of Ireland,Kildare,Camphill Communities of Ireland,Announced,18,3616-20220825,"Dunshane Camphill Communities of Ireland is a designated centre that provides 24-hours a day, seven days a week care and support for up to 20 residents in a rural location in Co. Kildare. The designated centre consists of seven residential buildings situated on over 20 acres of farming land in a campus style setting. The centre also provides day activation services from 9am to 5pm Monday to Friday, on site. Some residents participate in these day activities, such as baking, cooking, pottery, basketry, and farming within the grounds of the designated centre or are supported in other interests in the community. The site also contains extensive gardens, walk ways, forest trails, farm land and fields. The centre can accommodate residents of both genders, aged 18 and over with intellectual disabilities. Residents are supported by a team of social care workers, care assistants and voluntary workers. In line with the co-living model of care residents share communal living spaces with the volunteers.",,14,0,4,Compliant,,Substantially compliant,Compliant,,Substantially compliant,Compliant,,,,,Compliant,Substantially compliant,Compliant,Substantially compliant,,Compliant,Compliant,,Compliant,Compliant,,,Compliant,Compliant,Compliant,Compliant,Compliant,,,,,Compliant,,
5333,OSV-0005333,MON-0032892,2022,13 April 2022,2022-04-13,Rossbarna,Sligo,Health Service Executive,Unannounced,9,5333-20220413,"Rossbarna service provides full-time residential service for nine male residents who are over the age of 18 years. The centre comprises of two detached residential houses that are located a short distance from each other. Both locations are within driving distance of a large town and have many local amenities that residents can access. There is ample communal space in both houses for residents to enjoy, and residents have access to a large rear gardens. Residents have their own bedrooms, which are decorated to their individual preferences and there are appropriate bathroom facilities for residents to use. Residents who live in Rossbarna have a moderate degree of intellectual disability and some residents are on the autism spectrum. The centre does not offer emergency admissions at present. The staff skill mix comprises of nursing staff and healthcare assistants. Each house has a waking night staff on duty each night, with one house having a sleepover staff also in addition to the night duty staff.",,9,1,3,,,Compliant,Compliant,Compliant,Compliant,,,,,,Compliant,Compliant,Substantially compliant,,,,,,,Compliant,,,Substantially compliant,Substantially compliant,Not compliant,,,Compliant,,,Compliant,,,
5801,OSV-0005801,MON-0035513,2022,25 October 2022,2022-10-25,Magnolia Services,Roscommon,Brothers of Charity Services Ireland CLG,Short Notice Announced,5,5801-20221025,"Magnolia services provides services to those with an intellectual disability who require support ranging from minimum to high levels of care needs.  The service comprises of two stand-alone community based houses, located near towns and close to all local amenities. One of these houses provides accommodation to up to four people, while the other provides a service to a single person both facilities can operate seven days a week. During the day, service users attend a variety of day services and individualised day programmes. Some service users are also involved in supported employment. Magnolia services is supported by a staff team, which includes a clinical nurse manager, in addition to social care workers and care assistants. Staff are based in the centre when residents are present and a staff member sleeps in the centre at night to support residents.",,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Compliant,,,,,,,,,,
5420,OSV-0005420,MON-0032590,2023,26 October 2023,2023-10-26,The Towers,Cork,Nua Healthcare Services Limited,Announced,4,5420-20231026,"The designated centre is located in a rural setting. It consists of a main dormer style house that is divided into three independent living areas and a separate building located to the side of the main house, set up as one living area. In the main house, two areas are at ground floor level and one is on the first floor. The service provides long stay placements for adults with complex needs who require significant support for intellectual disability, acquired brain injury, autism or mental health issues. Within the main house, each independent living area comprises of a living room, kitchenette / dining area and bedroom en-suite. The ground floor also accommodates a staff office, a staff bathroom and a main kitchen. The first floor contains a staff sleepover room and shower room. The separate building is one living area, providing a residential service to one adult resident. This comprises of a living room / kitchenette, bedroom / en-suite, staff sleepover room and staff shower / toilet room. All ground floor living areas have direct exit to an external patio area and a large garden area. Separate, but part of the designated centre, are a stand alone laundry building and boiler house.The staff team comprised of social care workers and assistant support workers. Residents are supported by staff at all times day and night.",,25,0,1,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,,Compliant,,Compliant,Compliant,Compliant,,Compliant,Substantially compliant,Compliant,Compliant,,Compliant,,,Compliant,Compliant,,
1828,OSV-0001828,MON-0029127,2021,15 November 2021,2021-11-15,Teach Greine,Westmeath,St Hilda's Services,Unannounced,4,1828-20211115,"Teach Greine provides  respite care and support to adults and children with an intellectual disability. The house, which has five bedrooms, a large living area, kitchen and dining room is located within walking distance of a medium sized town in Co. Westmeath. The bedrooms available to residents are equipped to support those with additional mobility support needs, and there is specialist equipment available in the two large bathrooms. Residents are supported by a team of nurses, social care workers and care assistants, and the centre is managed by a person in charge who is a registered nurse.",Respite,16,2,2,Compliant,Substantially compliant,Not compliant,Compliant,,Compliant,,Compliant,,Compliant,,Compliant,Compliant,Compliant,Substantially compliant,,Compliant,,,,Not compliant,Compliant,,Compliant,Compliant,Compliant,Compliant,,Compliant,,,Compliant,,,
5511,OSV-0005511,MON-0035846,2022,14 March 2022,2022-03-14,Ard Na Rithe,Louth,St John of God Community Services CLG,Unannounced,4,5511-20220314,"Ard Na Rithe is a five-bedroom full-time residential service located in Co. Louth. It is situated close to local amenities. Residents can either walk to or avail of the centre's vehicle or public transport if required. The centre supports male residents over the age of 18 years. Each resident has their own bedroom. The facilities include two communal areas, a kitchen cum dining room with a utility room to the side. Adequate bathroom facilities are also available. There is a garden at the back of the property. Management and staff work in partnership with families, allied health professionals, and the wider community to ensure the service delivered to the residents is based on their assessed needs, individual preferences, and community inclusion.",,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,Substantially compliant,,,,,,,,,,
1816,OSV-0001816,MON-0032723,2021,27 April 2021,2021-04-27,The Comhar Centre,Cork,St Joseph's Foundation,Short Notice Announced,4,1816-20210427,"The designated centre provides residential and respite accommodation for adults with an intellectual disability. The Comhar Centre can accommodate 5 residents and 2 respite placements and can provide services to both female and male residents who are over the age of 18 years.The centre itself is a purpose-built spacious single-storey bungalow located in a quiet residential estate in a large town in North Cork.  The house contains a kitchen, sitting rooms, bedrooms, bathroom facilities and outdoor areas. Staff support is provided by social care workers/leaders and care assistants.",Residential and Respite,17,0,1,Compliant,,Substantially compliant,Compliant,Compliant,Compliant,Compliant,Compliant,,,Compliant,Compliant,Compliant,Compliant,Compliant,,,,,,Compliant,,,Compliant,Compliant,Compliant,,,Compliant,,,Compliant,,,
2340,OSV-0002340,MON-0025859,2021,26 August 2021,2021-08-26,Baldoyle Residential Services,Dublin 13,St Michael's House,Unannounced,11,2340-20210826,"The centre is located in a seaside residential suburb of Co. Dublin and is located on the first floor of a large three storey building. The ground floor of this building comprises of a primary school for children with disabilities, a day care facility for adults and a swimming pool. Administration offices are located on the second floor where outpatient clinics are also held. Access to the designated centre is through a large reception area for the entire building and there is a lift and stairs available to residents. The entire property is owned by St. Michael's House (SMH). The designated centre is divided into two areas, each with their own living areas and kitchen facilities. Eleven residents reside in the centre. Residents are supported by a team of nurses and care staff. The centre is closed to admissions from external agencies as it is classified as a congregated setting. The provider proposed to de-congregate the centre in line with national policy.",,0,4,0,,,,,,,,,,,,,,,Not compliant,,,,,,Not compliant,,,,Not compliant,Not compliant,,,,,,,,Not compliant,
8289,OSV-0008289,MON-0038133,2023,13 September 2023,2023-09-13,Teach Inisfree,Donegal,Health Service Executive,Short Notice Announced,4,8289-20230913,Teach Inisfree provides full-time residential care for male and female adults with an intellectual disability. The centre comprises one purpose built building which is located on the outskirts of a busy town. Staffing is provided by a team of nursing and healthcare assistants. Waking night support arrangements are in place.,,20,0,0,Compliant,Compliant,Compliant,Compliant,Compliant,,Compliant,,Compliant,,Compliant,Compliant,Compliant,Compliant,Compliant,,Compliant,,,Compliant,Compliant,Compliant,,Compliant,,Compliant,Compliant,,Compliant,,,,,,
2672,OSV-0002672,MON-0026886,2021,11 November 2021,2021-11-11,Castlebar Supported Accommodation,Mayo,RehabCare,Announced,4,2672-20211111,"Castlebar supported accommodation provides a full-time residential service to four residents for 52 weeks per year. The centre is located in a large town in Co. Mayo and is central to the local amenities in the town. There are two females and two males using this service and there is one vacancy in the centre. All residents have a mild learning disability and one resident also has a physical disability. The service consists of a large two-storey detached building in a housing estate in the town. Residents are supported by one social care staff member in the morning and the evening with a staff sleepover at night. The centre also has an apartment attached to the side of the house, where one individual who has transitioned out of the service lives; however, this apartment is not registered with HIQA and staff do not provide support to this individual.",,17,0,0,Compliant,,Compliant,Compliant,Compliant,Compliant,,Compliant,,,,,Compliant,Compliant,Compliant,,,Compliant,,Compliant,Compliant,,,Compliant,Compliant,Compliant,Compliant,,Compliant,,,,Compliant,,
3888,OSV-0003888,MON-0032893,2023,11 and 12 December 2023,2023-12-12,Battery Court,Longford,St Christopher's Services Company Limited by Guarantee,Announced,7,3888-20231212,"Battery Court is located within a town in County Longford. It comprises six adjoined semi-detached/terraced two storey houses, two of which are divided into two self-contained apartments and another comprises of a staff administrative area down stairs and an apartment upstairs. The centre can accommodate a maximum of ten male and female residents who are supported to live an independent life. All residents living in this centre are over the age of 18 years. Residents are supported to access local amenities including cafes, restaurants, shops and leisure facilities. Some residents live alone while other residents share accommodation. Each apartment/house has a kitchen/dining/living area, a bedroom and bathroom and in the houses there is a communal sitting room available for residents who share a house. Battery Court has a staff team comprised of support workers and social care workers. Staff are on duty both day and night to support residents who live within this centre with activities of daily living and support with their health care needs where required. A number of vehicles are available in the centre.",,16,1,4,Compliant,Compliant,Compliant,Compliant,,Compliant,Compliant,,,Substantially compliant,Compliant,,Substantially compliant,Compliant,Substantially compliant,,Compliant,Compliant,Compliant,Compliant,Compliant,,,Substantially compliant,,Compliant,Not compliant,,,Compliant,,Compliant,Compliant,,
7634,OSV-0007634,MON-0030219,2020,21 August 2020,2020-08-21,Lemongrove House,Wexford,Resilience Healthcare Limited,Short Notice Announced,2,7634-20200821,"Lemongrove House is a residential home for adults, located in a town, in Co. Wexford. Residential services are provided to adults, both male and female. Up to four residents can be accommodated at any one time. Communal areas include a dining room, living room and kitchen with a separate larder room for food storage. Recreation and leisure space is provided in the garden area. The statement of purpose describes the environment as aimed at the needs of people with a particular, identified, genetic condition. Services are provided in Lemongrove House for persons with a particular genetic condition who present with complex medical and behavioural support needs. The statement of purpose outlines the ethos as providing support in a manner promoting independence, based on individual needs. The service is described as a community based service where staff encourage residents to enjoy the benefits of the local community and social facilities. Vehicles are allocated to the house to support community access. Staff support is by way of a team of support workers supported by a multidisciplinary team. The numbers, qualifications and skills-mix of staff is described in the statement of purpose as ‘appropriate to the number and assessed needs of the actual residents taking into account the size and layout of Lemongrove House’.",,5,5,2,Not compliant,,,Substantially compliant,Not compliant,,,,,,,Compliant,,Substantially compliant,Compliant,Compliant,,,,,Not compliant,Not compliant,,Not compliant,Compliant,,,,Compliant,,,,,,
3690,OSV-0003690,MON-0029571,2020,17 September 2020,2020-09-17,Peacehaven Trust,Wicklow,Peacehaven Trust CLG,Short Notice Announced,17,3690-20200917,"Peacehaven trust provides full-time residential care and support for 17 adults with mild or moderate intellectual disabilities across three locations on the east coast of Co. Wicklow. Each house is close to a variety of local amenities and residents have access to private transport to support them to access their community. Each resident has their own bedroom and has access to communal rooms including a choice of sitting area, kitchens, laundry rooms, gardens, private spaces, adequate storage, waste disposal, and private transport. Care and support is provided for residents as required within the context of a 24/7 service. The staffing team consists of a person in charge, social care workers and relief staff.",,6,4,1,,,Not compliant,Not compliant,Not compliant,Compliant,,,,,,,Compliant,Substantially compliant,,,,,,,Not compliant,Compliant,,,Compliant,Compliant,,,Compliant,,,,,,
